KEGG.Name	KEGG.ID	Pathway.Class	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Primary bile acid biosynthesis	map00120	Lipid metabolism	65	17	HMDB0001341;HMDB0002197;HMDB0001487;HMDB0000221;HMDB0001248;HMDB0000896;HMDB0012455;HMDB0000902;HMDB0001377;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000722;HMDB0000123;HMDB0001275;HMDB0001231	0.3571137136099757	0.3504424778761062	1.0684421165527629	0.4659301148462317
Glycerolipid metabolism	map00561	Lipid metabolism	25	10	HMDB0000221;HMDB0001487;HMDB0001429;HMDB0000902;HMDB0003364;HMDB0000538;HMDB0002111;HMDB0001341;HMDB0000217;HMDB0001248	0.4179801551273355	0.3747747747747748	1.0803703893597727	0.4724018129941043
Retinol metabolism	map00830	Cofactors and vitamins metabolism	35	8	HMDB0001377;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0000902;HMDB0001852;HMDB0002111;HMDB0003345	0.4358206699463238	0.4071294559099437	1.053776970734216	0.47517000460610953
Pantothenate and CoA biosynthesis	map00770	Cofactors and vitamins metabolism	21	8	HMDB0000250;HMDB0000045;HMDB0002991;HMDB0001341;HMDB0000574;HMDB0001967;HMDB0002111;HMDB0000538	0.4253913237507206	0.43151969981238275	1.0285597068488324	0.49801608079961834
Lysine degradation	map00310	Amino acid metabolism	30	14	HMDB0001248;HMDB0000902;HMDB0003125;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0000279;HMDB0003405;HMDB0001377;HMDB0000217;HMDB0001487;HMDB0000208;HMDB0000221;HMDB0001967	0.3384709086857407	0.47155963302752296	0.9605074430644929	0.5727237819603512
Inositol phosphate metabolism	map00562	Carbohydrate metabolism	40	12	HMDB0001341;HMDB0006230;HMDB0000902;HMDB0006235;HMDB0000211;HMDB0001333;HMDB0000538;HMDB0001377;HMDB0001429;HMDB0006971;HMDB0002111;HMDB0000250	0.35093592839579574	0.47644927536231885	0.9646256267717426	0.578655502706968
Biosynthesis of unsaturated fatty acids	map01040	Lipid metabolism	17	4	HMDB0000538;HMDB0000201;HMDB0002356;HMDB0001341	0.44238839327344054	0.672514619883041	0.844709136308921	0.724713567396844
Fructose and mannose metabolism	map00051	Carbohydrate metabolism	31	12	HMDB0000660;HMDB0000538;HMDB0000221;HMDB0002111;HMDB0001429;HMDB0001047;HMDB0000250;HMDB0000902;HMDB0001341;HMDB0001487;HMDB0003345;HMDB0000217	0.31034826087348877	0.6521739130434783	0.8530613751378893	0.7263122374652378
Arachidonic acid metabolism	map00590	Lipid metabolism	67	12	HMDB0002111;HMDB0005079;HMDB0001509;HMDB0000217;HMDB0004238;HMDB0000221;HMDB0005998;HMDB0000148;HMDB0003080;HMDB0004244;HMDB0001377;HMDB0003125	0.2860271133053777	0.7481884057971014	0.7862092795888768	0.7685742639290505
Glutathione metabolism	map00480	Metabolism of other amino acids	20	11	HMDB0000574;HMDB0000217;HMDB0001248;HMDB0000221;HMDB0001341;HMDB0000538;HMDB0000148;HMDB0000123;HMDB0003125;HMDB0001429;HMDB0002111	0.29856115484923273	0.7275985663082437	0.8019141261742219	0.776398553485605
Folate biosynthesis	map00790	Cofactors and vitamins metabolism	28	5	HMDB0000221;HMDB0000902;HMDB0002111;HMDB0000217;HMDB0001487	0.3822968310321861	0.74573055028463	0.7896185843188648	0.7787682828917513
Steroid biosynthesis	map00100	Lipid metabolism	48	13	HMDB0002719;HMDB0006271;HMDB0000217;HMDB0001429;HMDB0000250;HMDB0001217;HMDB0001248;HMDB0000538;HMDB0001377;HMDB0002111;HMDB0000221;HMDB0001341;HMDB0001967	-0.24279015529674242	0.8565121412803532	-0.7054247797399195	0.8535948272170599
alpha-Linolenic acid metabolism	map00592	Lipid metabolism	18	3	HMDB0006323;HMDB0002177;HMDB0002226	0.33621517771373793	0.9337231968810916	0.5810881834419179	0.9542011379900164
Sulfur metabolism	map00920	Energy metabolism	22	8	HMDB0001341;HMDB0001377;HMDB0003125;HMDB0000240;HMDB0000250;HMDB0002111;HMDB0000538;HMDB0001429	-0.29200693683857604	0.7922912205567452	-0.7363410946456685	1.0
