HumanGEM-Subsystem	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Beta oxidation of phytanic acid (peroxisomal)	19	13	HMDB0003125;HMDB0000045;HMDB0001275;HMDB0000902;HMDB0001967;HMDB0000208;HMDB0003419;HMDB0000538;HMDB0000254;HMDB0001487;HMDB0001377;HMDB0002111;HMDB0000250	0.27866724694751077	0.753199268738574	0.780375246817903	0.8277347552970167
Prostaglandin biosynthesis	30	7	HMDB0000217;HMDB0000221;HMDB0000044;HMDB0001487;HMDB0001377;HMDB0000902;HMDB0002111	0.3410423695043554	0.7176258992805755	0.7991192637961393	0.8342512360266707
Biopterin metabolism	12	4	HMDB0002111;HMDB0000217;HMDB0001377;HMDB0000221	0.41012765235481025	0.7426900584795322	0.78310954867865	0.8356078310632028
Artificial reactions	56	12	HMDB0000123;HMDB0000221;HMDB0001487;HMDB0000148;HMDB0000217;HMDB0000574;HMDB0000158;HMDB0000191;HMDB0000167;HMDB0000162;HMDB0000517;HMDB0005082	0.29265134109852636	0.717391304347826	0.8044174462934214	0.8365068920460897
Fatty acid elongation (even-chain)	11	4	HMDB0002111;HMDB0000221;HMDB0000217;HMDB0001967	0.4114718645173423	0.7368421052631579	0.7856762260872198	0.8436285418702065
Cholesterol biosynthesis 1 (Bloch pathway)	19	11	HMDB0002111;HMDB0000902;HMDB0001341;HMDB0000250;HMDB0002719;HMDB0000538;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0001377;HMDB0001967	0.3002361798261362	0.7240143369175627	0.8064131246837629	0.8455703580589965
Carnitine shuttle (endoplasmic reticular)	27	1	HMDB0000201	0.5627996164908905	0.8739837398373984	0.7522152014127266	0.8580539848682484
Sphingolipid metabolism	32	14	HMDB0001377;HMDB0000221;HMDB0001487;HMDB0001341;HMDB0001248;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0000295;HMDB0000230;HMDB0000122;HMDB0002111;HMDB0000538;HMDB0000302	0.5312892491125802	0.05688073394495413	1.5076843093377417	0.8751701710800057
Cysteine and methionine metabolism	44	21	HMDB0000257;HMDB0000208;HMDB0000902;HMDB0003125;HMDB0000538;HMDB0001487;HMDB0000250;HMDB0000731;HMDB0000148;HMDB0001967;HMDB0002111;HMDB0002757;HMDB0001185;HMDB0001377;HMDB0000574;HMDB0011745;HMDB0000099;HMDB0000051;HMDB0000939;HMDB0000217;HMDB0000221	0.23297277028162156	0.8373702422145328	0.7282907938049202	0.8760563801465456
Aminoacyl-tRNA biosynthesis	24	11	HMDB0000123;HMDB0000250;HMDB0000045;HMDB0000167;HMDB0000148;HMDB0000574;HMDB0000158;HMDB0000191;HMDB0000538;HMDB0000162;HMDB0000517	-0.24025993650385963	0.8800904977375565	-0.664633157547207	0.884456870164614
