KEGG_pathway_name	KEGG_pathway_ID	Pathway_Class	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Arginine and proline metabolism	map00330	Amino acid metabolism	HMDB0000027;HMDB0000045;HMDB0000051;HMDB0000052;HMDB0000064;HMDB0000123;HMDB0000128;HMDB0000134;HMDB0000148;HMDB0000161;HMDB0000162;HMDB0000191;HMDB0000208;HMDB0000214;HMDB0000217;HMDB0000221;HMDB0000223;HMDB0000243;HMDB0000250;HMDB0000254;HMDB0000294;HMDB0000464;HMDB0000517;HMDB0000538;HMDB0000595;HMDB0000641;HMDB0000902;HMDB0000904;HMDB0000939;HMDB0001096;HMDB0001185;HMDB0001248;HMDB0001301;HMDB0001333;HMDB0001341;HMDB0001369;HMDB0001377;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001511;HMDB0001520;HMDB0001967;HMDB0002070;HMDB0002104;HMDB0002111;HMDB0002234;HMDB0002272;HMDB0002273;HMDB0003125;HMDB0003178;HMDB0003378;HMDB0003411;HMDB0004224;HMDB0006556;HMDB0006875;HMDB0059597	57	47	HMDB0004224;HMDB0001487;HMDB0000208;HMDB0000051;HMDB0000064;HMDB0001185;HMDB0000902;HMDB0000052;HMDB0000939;HMDB0000254;HMDB0000250;HMDB0001341;HMDB0001301;HMDB0000223;HMDB0001429;HMDB0001096;HMDB0002070;HMDB0000162;HMDB0000294;HMDB0002111;HMDB0006556;HMDB0000217;HMDB0001248;HMDB0000214;HMDB0001967;HMDB0003411;HMDB0001377;HMDB0001333;HMDB0000134;HMDB0059597;HMDB0000221;HMDB0003125;HMDB0006875;HMDB0000128;HMDB0001491;HMDB0002234;HMDB0000123;HMDB0001511;HMDB0002273;HMDB0000191;HMDB0000517;HMDB0001369;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0002104;HMDB0000904	0.5581427121784204	0.0	2.0769163784324607	0.0	0.0
One carbon pool by folate	map00670	Cofactors and vitamins metabolism	HMDB0000051;HMDB0000121;HMDB0000142;HMDB0000148;HMDB0000217;HMDB0000221;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000902;HMDB0000972;HMDB0001056;HMDB0001248;HMDB0001341;HMDB0001354;HMDB0001396;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001534;HMDB0001562;HMDB0001846;HMDB0001967;HMDB0002111;HMDB0003470;HMDB0006825;HMDB0006826;HMDB0059597	29	15	HMDB0001248;HMDB0000902;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0059597;HMDB0000221;HMDB0000051;HMDB0001429;HMDB0001967;HMDB0001562	0.49247833875764524	0.08687615526802218	1.4132870510357451	0.2685837137242581	0.2685837137242581
Galactose metabolism	map00052	Carbohydrate metabolism	HMDB0000048;HMDB0000107;HMDB0000122;HMDB0000131;HMDB0000143;HMDB0000169;HMDB0000186;HMDB0000211;HMDB0000247;HMDB0000250;HMDB0000258;HMDB0000285;HMDB0000286;HMDB0000295;HMDB0000302;HMDB0000538;HMDB0000547;HMDB0000645;HMDB0000660;HMDB0000902;HMDB0001262;HMDB0001341;HMDB0001401;HMDB0001429;HMDB0001487;HMDB0001586;HMDB0002111;HMDB0003213;HMDB0003345;HMDB0003553;HMDB0004162;HMDB0005826;HMDB0006790;HMDB0006791;HMDB0006792;HMDB0015531;HMDB0015532;HMDB0032197	38	13	HMDB0000660;HMDB0000295;HMDB0003345;HMDB0001341;HMDB0000302;HMDB0000902;HMDB0000211;HMDB0000538;HMDB0001487;HMDB0000122;HMDB0001429;HMDB0002111;HMDB0000250	0.4992154621051785	0.10786106032906764	1.3979948979401293	0.2786795592324967	0.2786795592324967
D-Arginine and D-Ornithine Metabolism	map00472	Amino acid metabolism	HMDB0000051;HMDB0000294;HMDB0001248;HMDB0001377;HMDB0002111;HMDB0003125;HMDB0003374;HMDB0003416;HMDB0004225;HMDB0006272;HMDB0006875	11	7	HMDB0002111;HMDB0001248;HMDB0000294;HMDB0006875;HMDB0000051;HMDB0001377;HMDB0003125	0.608486017357762	0.09712230215827339	1.425784423583093	0.2797267893089445	0.2797267893089445
Pyrimidine metabolism	map00240	Nucleotide metabolism	HMDB0000012;HMDB0000014;HMDB0000026;HMDB0000051;HMDB0000056;HMDB0000076;HMDB0000079;HMDB0000082;HMDB0000089;HMDB0000095;HMDB0000217;HMDB0000218;HMDB0000221;HMDB0000226;HMDB0000250;HMDB0000262;HMDB0000273;HMDB0000280;HMDB0000285;HMDB0000288;HMDB0000295;HMDB0000296;HMDB0000300;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000595;HMDB0000641;HMDB0000692;HMDB0000828;HMDB0000998;HMDB0001000;HMDB0001056;HMDB0001096;HMDB0001191;HMDB0001202;HMDB0001227;HMDB0001245;HMDB0001248;HMDB0001274;HMDB0001341;HMDB0001342;HMDB0001351;HMDB0001409;HMDB0001429;HMDB0001489;HMDB0001520;HMDB0001533;HMDB0001546;HMDB0001967;HMDB0002031;HMDB0002111;HMDB0003349;HMDB0003364;HMDB0003540;HMDB0003911;HMDB0015532	57	14	HMDB0000295;HMDB0001429;HMDB0000273;HMDB0001341;HMDB0000250;HMDB0001248;HMDB0002111;HMDB0000538;HMDB0000221;HMDB0000051;HMDB0003364;HMDB0001096;HMDB0000217;HMDB0001967	0.5220322254567035	0.060550458715596334	1.4814148726035226	0.2803720522853416	0.2803720522853416
Citrate cycle (TCA cycle)	map00020	Carbohydrate metabolism	HMDB0000030;HMDB0000072;HMDB0000094;HMDB0000134;HMDB0000156;HMDB0000193;HMDB0000208;HMDB0000223;HMDB0000243;HMDB0000254;HMDB0000538;HMDB0000547;HMDB0000595;HMDB0000902;HMDB0000962;HMDB0001022;HMDB0001072;HMDB0001197;HMDB0001201;HMDB0001206;HMDB0001248;HMDB0001273;HMDB0001333;HMDB0001341;HMDB0001372;HMDB0001423;HMDB0001429;HMDB0001487;HMDB0001967;HMDB0002111;HMDB0059597;HMDB0059661	32	15	HMDB0000223;HMDB0000538;HMDB0001967;HMDB0000208;HMDB0000134;HMDB0001248;HMDB0002111;HMDB0001429;HMDB0000254;HMDB0000902;HMDB0001341;HMDB0001487;HMDB0001333;HMDB0059597;HMDB0001072	0.4932624432556043	0.08687615526802218	1.415537230681047	0.281770342444235	0.281770342444235
Glycolysis / Gluconeogenesis	map00010	Carbohydrate metabolism	HMDB0000030;HMDB0000122;HMDB0000124;HMDB0000156;HMDB0000190;HMDB0000208;HMDB0000223;HMDB0000243;HMDB0000263;HMDB0000538;HMDB0000547;HMDB0000586;HMDB0000595;HMDB0000807;HMDB0000902;HMDB0001058;HMDB0001112;HMDB0001201;HMDB0001270;HMDB0001273;HMDB0001294;HMDB0001333;HMDB0001341;HMDB0001401;HMDB0001429;HMDB0001473;HMDB0001487;HMDB0001586;HMDB0001967;HMDB0002111;HMDB0003345;HMDB0003391;HMDB0003498;HMDB0059597	34	16	HMDB0002111;HMDB0001487;HMDB0000538;HMDB0000208;HMDB0001341;HMDB0001333;HMDB0000223;HMDB0001429;HMDB0003391;HMDB0001294;HMDB0003345;HMDB0003498;HMDB0001967;HMDB0000122;HMDB0000902;HMDB0059597	0.4929646727883765	0.07366482504604052	1.4473170032874993	0.28194655904363725	0.28194655904363725
Riboflavin metabolism	map00740	Cofactors and vitamins metabolism	HMDB0000045;HMDB0000244;HMDB0000250;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000657;HMDB0001248;HMDB0001341;HMDB0001377;HMDB0001429;HMDB0001520;HMDB0002111;HMDB0002434;HMDB0003125;HMDB0003364;HMDB0003701;HMDB0003826;HMDB0004256;HMDB0015532	20	11	HMDB0001248;HMDB0001341;HMDB0000250;HMDB0000045;HMDB0003364;HMDB0003826;HMDB0000538;HMDB0001377;HMDB0003125;HMDB0001429;HMDB0002111	0.5431789213511248	0.08422939068100359	1.4589401300095588	0.28551564445375316	0.28551564445375316
Nitrogen metabolism	map00910	Energy metabolism	HMDB0000030;HMDB0000045;HMDB0000051;HMDB0000123;HMDB0000148;HMDB0000168;HMDB0000177;HMDB0000187;HMDB0000191;HMDB0000208;HMDB0000243;HMDB0000250;HMDB0000301;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000902;HMDB0001096;HMDB0001248;HMDB0001341;HMDB0001429;HMDB0001451;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001846;HMDB0001967;HMDB0002111;HMDB0012210;HMDB0013639;HMDB0014312	31	18	HMDB0000208;HMDB0001248;HMDB0000051;HMDB0001341;HMDB0000191;HMDB0001451;HMDB0000250;HMDB0000045;HMDB0001491;HMDB0001096;HMDB0001487;HMDB0001967;HMDB0000538;HMDB0000148;HMDB0000123;HMDB0000902;HMDB0001429;HMDB0002111	0.47467236052176903	0.08141592920353982	1.4334018179655208	0.2863675578095936	0.2863675578095936
Histidine metabolism	map00340	Amino acid metabolism	HMDB0000001;HMDB0000033;HMDB0000045;HMDB0000051;HMDB0000056;HMDB0000148;HMDB0000177;HMDB0000194;HMDB0000217;HMDB0000221;HMDB0000250;HMDB0000301;HMDB0000464;HMDB0000479;HMDB0000538;HMDB0000657;HMDB0000854;HMDB0000870;HMDB0000898;HMDB0000902;HMDB0000939;HMDB0001014;HMDB0001185;HMDB0001248;HMDB0001333;HMDB0001341;HMDB0001377;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001534;HMDB0001846;HMDB0001967;HMDB0002024;HMDB0002111;HMDB0002820;HMDB0003125;HMDB0003905;HMDB0004181;HMDB0011639;HMDB0015532;HMDB0059597	42	22	HMDB0002111;HMDB0001341;HMDB0000051;HMDB0000217;HMDB0001377;HMDB0001491;HMDB0000148;HMDB0001185;HMDB0000221;HMDB0000898;HMDB0059597;HMDB0001487;HMDB0003125;HMDB0001967;HMDB0000045;HMDB0000250;HMDB0001248;HMDB0000538;HMDB0001429;HMDB0001333;HMDB0000902;HMDB0000939	0.49070912408092604	0.03583617747440273	1.5555798744219	0.28823761151753613	0.28823761151753613
