SUBSYSTEM	Rxn.name	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Miscellaneous	MAR05407;MAR03955;MAR04201;MAR04202;MAR05127;MAR05128;MAR05363;MAR07794;MAR08617;MAR08752;MAR07741;MAR01801;MAR01808;MAR02126;MAR02128;MAR02188;MAR02189;MAR02192;MAR02195;MAR02196;MAR02197;MAR02306;MAR02308;MAR02341;MAR02352;MAR02357;MAR02358;MAR02366;MAR02375;MAR02529;MAR02531;MAR02532;MAR02534;MAR02639;MAR02641;MAR02643;MAR02698;MAR02958;MAR03038;MAR03039;MAR03040;MAR03043;MAR03044;MAR03045;MAR03051;MAR03052;MAR03126;MAR03127;MAR03133;MAR03134;MAR03140;MAR03141;MAR03145;MAR03147;MAR03148;MAR03152;MAR03162;MAR03165;MAR03169;MAR03207;MAR03826;MAR03828;MAR03914;MAR10460;MAR10461;MAR10462;MAR11309;MAR11430;MAR20110;MAR20111;MAR03984;MAR02198;MAR03042	HMDB0001967;HMDB0002111;HMDB0003125;HMDB0001875;HMDB0000902;HMDB0000051;HMDB0003379;HMDB0000250;HMDB0000217;HMDB0000221;HMDB0001487;HMDB0001377;HMDB0001338;HMDB0001114;HMDB0000067;HMDB0003945;HMDB0001508;HMDB0000960;HMDB0001088;HMDB0006368;HMDB0001453;HMDB0001449;HMDB0000935;HMDB0000492;HMDB0002786;HMDB0001527;HMDB0001134;HMDB0001858;HMDB0001185;HMDB0000223;HMDB0001206;HMDB0000119;HMDB0000595;HMDB0001426;HMDB0006532;HMDB0001322;HMDB0000118;HMDB0000291;HMDB0002158;HMDB0001423;HMDB0000143;HMDB0004936;HMDB0001341;HMDB0001201;HMDB0003947;HMDB0000172;HMDB0000159;HMDB0000879;HMDB0000687;HMDB0000295;HMDB0000127;HMDB0000061;HMDB0011635;HMDB0000939;HMDB0000243;HMDB0000156	56	15	HMDB0000902;HMDB0000295;HMDB0003125;HMDB0000939;HMDB0002111;HMDB0001377;HMDB0001341;HMDB0000250;HMDB0000217;HMDB0001487;HMDB0000221;HMDB0000051;HMDB0001967;HMDB0000223;HMDB0001185	0.5218556741374781	0.06284658040665435	1.4975925004713273	0.7812047641169619	0.7812047641169619
Beta oxidation of phytanic acid (peroxisomal)	MAR03480;MAR03482;MAR03484;MAR03493;MAR03498;MAR03501;MAR03503;MAR03505;MAR03506;MAR03508;MAR03509;MAR03510;MAR03512;MAR03513;MAR03514;MAR03515;MAR03486	HMDB0000538;HMDB0001423;HMDB0000801;HMDB0000208;HMDB0001377;HMDB0000795;HMDB0002111;HMDB0000902;HMDB0002057;HMDB0000045;HMDB0000250;HMDB0001967;HMDB0000254;HMDB0001958;HMDB0003419;HMDB0003125;HMDB0001487;HMDB0001275;HMDB0001206	19	13	HMDB0003125;HMDB0000045;HMDB0001275;HMDB0000902;HMDB0001967;HMDB0000208;HMDB0003419;HMDB0000538;HMDB0000254;HMDB0001487;HMDB0001377;HMDB0002111;HMDB0000250	0.27866724694751077	0.753199268738574	0.780375246817903	0.8277347552970167	0.8277347552970167
Prostaglandin biosynthesis	MAR01305;MAR01308;MAR01310;MAR01312;MAR01313;MAR01315;MAR01317;MAR01318;MAR01319;MAR01320;MAR01321;MAR01322;MAR01323;MAR01324;MAR01325;MAR01326;MAR01327;MAR01328;MAR01329;MAR01330;MAR01332;MAR01333;MAR01334;MAR01335;MAR01336;MAR01338;MAR01339;MAR01341;MAR01342;MAR01343;MAR01344;MAR01345;MAR01346;MAR01347;MAR01350;MAR01352;MAR01355;MAR01356;MAR01358;MAR01359;MAR01361;MAR01362;MAR01363;MAR01364;MAR01365;MAR01367;MAR01370;MAR01374;MAR01375;MAR01376;MAR01379;MAR01382;MAR01383;MAR01384;MAR01387;MAR01388;MAR01389;MAR01390;MAR01391;MAR01394;MAR01395;MAR01398;MAR01401;MAR01402;MAR01307;MAR01357;MAR01360;MAR01366;MAR01373;MAR01393	HMDB0001043;HMDB0001381;HMDB0002886;HMDB0002111;HMDB0001452;HMDB0001487;HMDB0004241;HMDB0002752;HMDB0004236;HMDB0000902;HMDB0001139;HMDB0000217;HMDB0000221;HMDB0001403;HMDB0002710;HMDB0006112;HMDB0000149;HMDB0004666;HMDB0001377;HMDB0000044;HMDB0002168;HMDB0000125;HMDB0002925;HMDB0001442;HMDB0002656;HMDB0002982;HMDB0001335;HMDB0001220;HMDB0000131;HMDB0004080	30	7	HMDB0000217;HMDB0000221;HMDB0000044;HMDB0001487;HMDB0001377;HMDB0000902;HMDB0002111	0.3410423695043554	0.7176258992805755	0.7991192637961393	0.8342512360266707	0.8342512360266707
Biopterin metabolism	MAR04160;MAR04162;MAR04166;MAR04167;MAR04169;MAR04170;MAR04523;MAR04539;MAR04540;MAR04543;MAR04544;MAR04833;MAR04834;MAR08538;MAR08740;MAR02119;MAR04163;MAR04541;MAR04542;MAR04817;MAR04818;MAR08738	HMDB0001273;HMDB0002111;HMDB0000221;HMDB0002281;HMDB0000142;HMDB0001396;HMDB0001377;HMDB0000929;HMDB0003379;HMDB0000217;HMDB0000038;HMDB0000472	12	4	HMDB0002111;HMDB0000217;HMDB0001377;HMDB0000221	0.41012765235481025	0.7426900584795322	0.78310954867865	0.8356078310632028	0.8356078310632028
Artificial reactions	MAR09725;MAR00021;MAR00022;MAR00036;MAR00037	HMDB0000217;HMDB0000221;HMDB0000161;HMDB0000517;HMDB0000168;HMDB0000191;HMDB0000067;HMDB0000574;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000177;HMDB0000172;HMDB0000687;HMDB0000182;HMDB0000696;HMDB0000159;HMDB0000162;HMDB0000187;HMDB0000167;HMDB0000929;HMDB0000158;HMDB0000883;HMDB0000030;HMDB0001423;HMDB0001197;HMDB0000062;HMDB0001487;HMDB0000244;HMDB0001846;HMDB0001320;HMDB0006773;HMDB0006111;HMDB0004264;HMDB0006245;HMDB0002190;HMDB0004241;HMDB0002886;HMDB0005088;HMDB0005087;HMDB0002232;HMDB0004385;HMDB0005082;HMDB0006112;HMDB0001220;HMDB0002664;HMDB0002710;HMDB0001977;HMDB0000335;HMDB0000879;HMDB0011195;HMDB0000338;HMDB0000405;HMDB0000010;HMDB0001434;HMDB0004362	56	12	HMDB0000123;HMDB0000221;HMDB0001487;HMDB0000148;HMDB0000217;HMDB0000574;HMDB0000158;HMDB0000191;HMDB0000167;HMDB0000162;HMDB0000517;HMDB0005082	0.29265134109852636	0.717391304347826	0.8044174462934214	0.8365068920460897	0.8365068920460897
Fatty acid elongation (even-chain)	MAR02190;MAR02191;MAR02194;MAR02201;MAR02202;MAR02204;MAR02205;MAR02208;MAR02210;MAR02211;MAR02212;MAR02214;MAR02215;MAR02217;MAR02219;MAR02193;MAR02203;MAR02209;MAR02213;MAR02218	HMDB0001175;HMDB0001338;HMDB0006498;HMDB0000221;HMDB0006529;HMDB0001114;HMDB0004258;HMDB0001967;HMDB0001423;HMDB0000217;HMDB0002111	11	4	HMDB0002111;HMDB0000221;HMDB0000217;HMDB0001967	0.4114718645173423	0.7368421052631579	0.7856762260872198	0.8436285418702065	0.8436285418702065
Cholesterol biosynthesis 1 (Bloch pathway)	MAR01445;MAR01448;MAR01467;MAR01470;MAR01477;MAR01478;MAR01479;MAR01484;MAR01490;MAR01493;MAR01494;MAR01495;MAR01496;MAR01500;MAR01502;MAR01503;MAR01504;MAR01505;MAR01509;MAR01516;MAR01519;MAR01526;MAR01440;MAR01454;MAR01465;MAR01473	HMDB0000227;HMDB0000538;HMDB0001341;HMDB0000221;HMDB0001377;HMDB0001251;HMDB0001023;HMDB0000217;HMDB0000902;HMDB0003896;HMDB0002719;HMDB0001423;HMDB0001120;HMDB0000250;HMDB0002111;HMDB0000142;HMDB0001967;HMDB0001487;HMDB0000067	19	11	HMDB0002111;HMDB0000902;HMDB0001341;HMDB0000250;HMDB0002719;HMDB0000538;HMDB0000221;HMDB0001487;HMDB0000217;HMDB0001377;HMDB0001967	0.3002361798261362	0.7240143369175627	0.8064131246837629	0.8455703580589965	0.8455703580589965
Carnitine shuttle (endoplasmic reticular)	MAR02778;MAR02780;MAR02783;MAR02785;MAR02787;MAR02788;MAR02789;MAR02790;MAR02791;MAR02792;MAR02793;MAR02794;MAR02795;MAR02796;MAR02797;MAR02798;MAR02799;MAR02800;MAR02801;MAR02803;MAR02805;MAR02806;MAR02807;MAR02809;MAR02811;MAR02812;MAR02813;MAR02814;MAR02815;MAR02816;MAR02817;MAR02819;MAR02821;MAR02822;MAR02823;MAR02824;MAR02825;MAR02827;MAR02829;MAR02830;MAR02831;MAR02832;MAR02833;MAR02834;MAR02835;MAR02836;MAR02837;MAR02838;MAR02839;MAR02840;MAR02841;MAR02842;MAR02843;MAR02844;MAR02845;MAR02846;MAR02847;MAR02848;MAR02849;MAR02850;MAR02851;MAR02852;MAR02853;MAR02854;MAR02855;MAR02856;MAR02857;MAR02859;MAR02861;MAR02862;MAR02863;MAR02864;MAR02865;MAR02866;MAR02867;MAR02868;MAR02869;MAR02870;MAR02871;MAR02872;MAR02873;MAR02874;MAR02875;MAR02876;MAR02878;MAR02879;MAR02880;MAR02882;MAR02884;MAR02886;MAR02888;MAR02890;MAR02892;MAR02894;MAR02896;MAR02897;MAR02898;MAR02899;MAR02900;MAR02901;MAR02902;MAR02903;MAR02904;MAR02905;MAR02906;MAR02907;MAR02908;MAR02909;MAR02910;MAR02911;MAR02912;MAR02913;MAR02914;MAR02915;MAR02916;MAR02917;MAR02918;MAR02919;MAR02920;MAR02921;MAR02922;MAR02923;MAR02924;MAR02925;MAR02926;MAR02927;MAR02928;MAR02929;MAR02930;MAR02931;MAR02932	HMDB0000062;HMDB0000201;HMDB0001423;HMDB0002095;HMDB0002250;HMDB0005066;HMDB0000222;HMDB0006210;HMDB0005065;HMDB0006464;HMDB0006267;HMDB0006516;HMDB0001206;HMDB0001175;HMDB0003571;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0001322;HMDB0004258;HMDB0006290;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523	27	1	HMDB0000201	0.5627996164908905	0.8739837398373984	0.7522152014127266	0.8580539848682484	0.8580539848682484
Sphingolipid metabolism	MAR00715;MAR00716;MAR00733;MAR00738;MAR00741;MAR00744;MAR00746;MAR00748;MAR00750;MAR00753;MAR00754;MAR00758;MAR00760;MAR00762;MAR00765;MAR00766;MAR00767;MAR00773;MAR00775;MAR00781;MAR00783;MAR00795;MAR08147;MAR08148;MAR08150;MAR08152;MAR08165;MAR08166;MAR08173;MAR08184;MAR08185;MAR08186;MAR08187;MAR08197;MAR08201;MAR00786;MAR08206;MAR08209;MAR08210;MAR08211;MAR08212;MAR08217;MAR08219;MAR08220;MAR08224;MAR08226;MAR08227;MAR08228;MAR08233;MAR08235;MAR08238;MAR08242;MAR08245;MAR08246;MAR08249;MAR08250;MAR08251;MAR03238;MAR12035;MAR12036;MAR12037;MAR12038;MAR12039;MAR12041;MAR12050;MAR12053;MAR12061;MAR12062;MAR12063;MAR12064;MAR12065;MAR12066;MAR12067;MAR12068;MAR12069;MAR12070;MAR12071;MAR12072;MAR12073;MAR12074;MAR12075;MAR12076;MAR12077;MAR12078;MAR12081;MAR12082;MAR12083;MAR12086;MAR00761;MAR00763;MAR00779;MAR08149;MAR08151;MAR08155;MAR08156;MAR08159;MAR08162;MAR08167;MAR08168;MAR08169;MAR08170;MAR08171;MAR08172;MAR08174;MAR08175;MAR08176;MAR08177;MAR08178;MAR08179;MAR08180;MAR08181;MAR08182;MAR08183;MAR08188;MAR08189;MAR08190;MAR08191;MAR08192;MAR08194;MAR08198;MAR08221;MAR08237;MAR08248;MAR01351;MAR12087;MAR12111	HMDB0000221;HMDB0001377;HMDB0002111;HMDB0001423;HMDB0001338;HMDB0000187;HMDB0000538;HMDB0000269;HMDB0000224;HMDB0000302;HMDB0000143;HMDB0000252;HMDB0004866;HMDB0004936;HMDB0000295;HMDB0001134;HMDB0000217;HMDB0001248;HMDB0001206;HMDB0001487;HMDB0001967;HMDB0001341;HMDB0000122;HMDB0000095;HMDB0001565;HMDB0000061;HMDB0001448;HMDB0001197;HMDB0001201;HMDB0000220;HMDB0000902;HMDB0000230	32	14	HMDB0001377;HMDB0000221;HMDB0001487;HMDB0001341;HMDB0001248;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0000295;HMDB0000230;HMDB0000122;HMDB0002111;HMDB0000538;HMDB0000302	0.5312892491125802	0.05688073394495413	1.5076843093377417	0.8751701710800057	0.8751701710800057
Cysteine and methionine metabolism	MAR03875;MAR03877;MAR03879;MAR03881;MAR03912;MAR03917;MAR03919;MAR03920;MAR03922;MAR03995;MAR03996;MAR04072;MAR04189;MAR04302;MAR04323;MAR05381;MAR05387;MAR05388;MAR05389;MAR05390;MAR05391;MAR05418;MAR05419;MAR06519;MAR06520;MAR06523;MAR08062;MAR08066;MAR08067;MAR08068;MAR08069;MAR08641;MAR08682;MAR08683;MAR08684;MAR08685;MAR02027;MAR08974;MAR08993;MAR09953;MAR03928;MAR05386;MAR06515;MAR06518;MAR09954;MAR11299	HMDB0000538;HMDB0002111;HMDB0000696;HMDB0000939;HMDB0000742;HMDB0000187;HMDB0000099;HMDB0000208;HMDB0000574;HMDB0001396;HMDB0011745;HMDB0001423;HMDB0000192;HMDB0000221;HMDB0001487;HMDB0001185;HMDB0001377;HMDB0001134;HMDB0000148;HMDB0000902;HMDB0000257;HMDB0003125;HMDB0001453;HMDB0004045;HMDB0000243;HMDB0000250;HMDB0000050;HMDB0000005;HMDB0001846;HMDB0000042;HMDB0001206;HMDB0000217;HMDB0001448;HMDB0000061;HMDB0001527;HMDB0000142;HMDB0002757;HMDB0003337;HMDB0003585;HMDB0006512;HMDB0000051;HMDB0000731;HMDB0000161;HMDB0001967	44	21	HMDB0000257;HMDB0000208;HMDB0000902;HMDB0003125;HMDB0000538;HMDB0001487;HMDB0000250;HMDB0000731;HMDB0000148;HMDB0001967;HMDB0002111;HMDB0002757;HMDB0001185;HMDB0001377;HMDB0000574;HMDB0011745;HMDB0000099;HMDB0000051;HMDB0000939;HMDB0000217;HMDB0000221	0.23297277028162156	0.8373702422145328	0.7282907938049202	0.8760563801465456	0.8760563801465456
Aminoacyl-tRNA biosynthesis	MAR05130;MAR05131;MAR05132;MAR05133;MAR05134;MAR05135;MAR05136;MAR05137;MAR05138;MAR05139;MAR05140;MAR05141;MAR05142;MAR05143;MAR05145;MAR05146;MAR05147;MAR05148;MAR05149;MAR05150;MAR05144	HMDB0000538;HMDB0000158;HMDB0000161;HMDB0000517;HMDB0000168;HMDB0000191;HMDB0000574;HMDB0000641;HMDB0000148;HMDB0000123;HMDB0000177;HMDB0000172;HMDB0000687;HMDB0000182;HMDB0000696;HMDB0000159;HMDB0000162;HMDB0000187;HMDB0000167;HMDB0000929;HMDB0000883;HMDB0000045;HMDB0000250;HMDB0001846	24	11	HMDB0000123;HMDB0000250;HMDB0000045;HMDB0000167;HMDB0000148;HMDB0000574;HMDB0000158;HMDB0000191;HMDB0000538;HMDB0000162;HMDB0000517	-0.24025993650385963	0.8800904977375565	-0.664633157547207	0.884456870164614	0.884456870164614
Tryptophan metabolism	MAR03164;MAR03166;MAR03885;MAR08091;MAR08092;MAR08563;MAR08564;MAR08565;MAR08566;MAR00051;MAR02765;MAR02858;MAR03048;MAR03119;MAR03124;MAR03168;MAR20089;MAR04250	HMDB0002111;HMDB0000902;HMDB0001423;HMDB0000732;HMDB0001377;HMDB0000208;HMDB0000684;HMDB0000978;HMDB0001389;HMDB0000221;HMDB0004073;HMDB0000217;HMDB0001855;HMDB0000125;HMDB0000472;HMDB0001487;HMDB0000232;HMDB0001967;HMDB0003125;HMDB0000197;HMDB0000148;HMDB0000715;HMDB0004081;HMDB0000763;HMDB0000881;HMDB0000259	26	14	HMDB0001377;HMDB0002111;HMDB0000217;HMDB0000763;HMDB0000208;HMDB0001487;HMDB0000221;HMDB0000715;HMDB0000148;HMDB0004081;HMDB0001967;HMDB0000232;HMDB0000902;HMDB0003125	0.21950042173267692	0.9412844036697248	0.6228948586709466	0.9335402043125218	0.9335402043125218
Fatty acid oxidation	MAR00067;MAR00102;MAR00103;MAR00104;MAR00108;MAR00109;MAR00110;MAR00139;MAR00286;MAR00452;MAR00455;MAR00465;MAR00723;MAR00724;MAR00725;MAR00726;MAR00727;MAR00728;MAR00729;MAR00737;MAR00739;MAR00740;MAR00742;MAR00751;MAR00752;MAR00756;MAR00757;MAR00759;MAR00764;MAR00772;MAR00776;MAR00777;MAR00778;MAR00784;MAR00785;MAR00789;MAR00799;MAR00800;MAR00818;MAR00833;MAR00869;MAR00872;MAR00874;MAR00916;MAR00922;MAR00923;MAR00927;MAR00930;MAR00952;MAR00965;MAR00968;MAR00970;MAR00972;MAR00977;MAR00978;MAR00982;MAR01001;MAR01005;MAR01009;MAR01439;MAR01452;MAR01475;MAR01481;MAR01488;MAR01489;MAR01517;MAR01556;MAR01587;MAR01588;MAR01674;MAR01675;MAR01677;MAR01736;MAR01757;MAR01773;MAR02028;MAR02035;MAR02121;MAR02122;MAR02123;MAR02148;MAR02149;MAR02183;MAR02187;MAR02207;MAR02310;MAR02312;MAR02313;MAR02314;MAR02340;MAR02367;MAR02369;MAR02370;MAR02372;MAR02373;MAR02381;MAR02492;MAR02786;MAR02802;MAR02804;MAR02808;MAR02810;MAR02818;MAR02820;MAR02826;MAR02828;MAR03266;MAR03267;MAR03268;MAR03269;MAR03270;MAR03273;MAR03274;MAR03276;MAR03289;MAR03291;MAR03295;MAR03297;MAR03299;MAR03366;MAR03371;MAR03377;MAR03379;MAR03380;MAR03381;MAR03384;MAR03386;MAR03387;MAR03388;MAR03389;MAR03390;MAR03393;MAR03394;MAR03395;MAR03399;MAR03401;MAR03403;MAR03404;MAR03405;MAR03412;MAR03415;MAR03417;MAR03437;MAR03438;MAR03439;MAR03440;MAR03441;MAR03442;MAR03443;MAR03451;MAR03474;MAR03483;MAR03485;MAR03487;MAR03492;MAR03494;MAR03495;MAR03497;MAR03499;MAR03500;MAR03502;MAR03507;MAR03516;MAR03518;MAR03754;MAR03756;MAR03758;MAR03760;MAR03764;MAR03997;MAR04001;MAR04003;MAR04005;MAR04438;MAR04441;MAR04443;MAR04445;MAR04447;MAR04457;MAR04462;MAR04475;MAR04491;MAR04504;MAR04506;MAR04508;MAR04509;MAR04511;MAR04522;MAR04569;MAR04571;MAR04581;MAR04598;MAR04610;MAR04613;MAR04620;MAR04624;MAR04634;MAR04636;MAR04638;MAR04639;MAR04671;MAR04707;MAR04711;MAR04719;MAR04745;MAR04749;MAR04759;MAR04783;MAR04805;MAR04807;MAR04966;MAR04967;MAR04968;MAR04970;MAR04974;MAR04978;MAR04981;MAR04984;MAR04987;MAR05001;MAR05017;MAR05019;MAR05024;MAR05025;MAR05026;MAR05028;MAR05030;MAR05044;MAR05069;MAR05072;MAR05083;MAR05086;MAR05095;MAR05097;MAR05098;MAR05100;MAR05104;MAR05106;MAR05108;MAR05110;MAR05111;MAR05119;MAR05120;MAR05123;MAR05175;MAR05176;MAR05177;MAR05178;MAR05179;MAR05180;MAR05181;MAR05182;MAR05183;MAR05184;MAR05185;MAR05186;MAR05187;MAR05188;MAR05189;MAR05190;MAR05191;MAR05192;MAR05193;MAR05194;MAR05195;MAR05196;MAR05208;MAR05242;MAR05256;MAR05293;MAR05298;MAR05300;MAR05302;MAR05312;MAR05321;MAR05323;MAR05325;MAR05327;MAR05329;MAR05331;MAR05334;MAR05341;MAR05343;MAR05345;MAR05350;MAR05355;MAR05356;MAR05357;MAR05358;MAR05359;MAR05360;MAR05364;MAR05365;MAR05366;MAR05369;MAR05371;MAR05372;MAR05373;MAR05374;MAR05375;MAR05376;MAR05377;MAR05378;MAR05379;MAR05380;MAR05382;MAR05403;MAR05404;MAR05405;MAR05408;MAR05412;MAR05421;MAR05425;MAR05427;MAR05428;MAR05431;MAR05449;MAR05456;MAR05988;MAR05991;MAR05999;MAR06278;MAR06279;MAR06280;MAR06283;MAR06284;MAR06285;MAR06319;MAR06320;MAR06322;MAR06329;MAR06344;MAR06345;MAR06346;MAR06347;MAR06348;MAR06349;MAR06350;MAR06376;MAR06378;MAR06390;MAR06407;MAR06437;MAR06449;MAR06452;MAR06483;MAR06593;MAR06598;MAR06600;MAR06604;MAR06696;MAR06698;MAR06773;MAR06777;MAR06804;MAR06805;MAR06809;MAR06810;MAR06821;MAR06832;MAR06833;MAR06846;MAR06847;MAR06852;MAR09948;MAR09949;MAR09950;MAR10374;MAR10377;MAR11294;MAR11529;MAR11530;MAR11534;MAR11535;MAR11539;MAR11540;MAR11544;MAR11545;MAR11548;MAR11551;MAR11552;MAR11559;MAR11736;MAR11740;MAR11744;MAR11745;MAR11749;MAR11752;MAR00755;MAR00774;MAR00780;MAR00788;MAR00974;MAR00975;MAR01600;MAR03385;MAR03402;MAR03410;MAR03418;MAR03465;MAR03479;MAR03490;MAR03496;MAR03504;MAR03535	HMDB0002111;HMDB0000902;HMDB0001958;HMDB0000222;HMDB0000062;HMDB0003945;HMDB0001423;HMDB0001322;HMDB0005065;HMDB0006320;HMDB0006529;HMDB0006464;HMDB0000538;HMDB0000573;HMDB0000795;HMDB0000801;HMDB0000039;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001248;HMDB0001114;HMDB0001377;HMDB0001064;HMDB0006290;HMDB0006368;HMDB0004258;HMDB0003947;HMDB0006523;HMDB0006516;HMDB0001070;HMDB0006210;HMDB0000067;HMDB0001175;HMDB0000824;HMDB0000217;HMDB0003571;HMDB0006404;HMDB0000221;HMDB0003229;HMDB0006547;HMDB0001388;HMDB0001275;HMDB0002845;HMDB0000673;HMDB0001197;HMDB0000208;HMDB0006267;HMDB0006889;HMDB0002054;HMDB0000448;HMDB0001113;HMDB0000511;HMDB0002068;HMDB0000944;HMDB0013114;HMDB0013109;HMDB0000220;HMDB0001088;HMDB0013037;HMDB0001493;HMDB0012969;HMDB0013028;HMDB0006294;HMDB0003231;HMDB0000792;HMDB0000893;HMDB0000254;HMDB0000535;HMDB0000482;HMDB0001967;HMDB0001487;HMDB0000827;HMDB0000207;HMDB0000045;HMDB0000250;HMDB0001206;HMDB0003125;HMDB0002226;HMDB0003419;HMDB0006891;HMDB0011123;HMDB0000651;HMDB0005060	84	18	HMDB0000221;HMDB0003125;HMDB0000208;HMDB0001967;HMDB0001487;HMDB0002226;HMDB0003419;HMDB0000792;HMDB0000902;HMDB0001275;HMDB0001377;HMDB0000538;HMDB0000045;HMDB0000254;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0001248	0.21598007495151433	0.9309734513274336	0.6522103619842683	0.9356636601809517	0.9356636601809517
Vitamin E metabolism	MAR06423;MAR06426;MAR06427;MAR06432;MAR06433;MAR06434;MAR06435;MAR06436;MAR06441;MAR06442;MAR06447;MAR06448;MAR06450;MAR06451;MAR06453;MAR06460;MAR06464;MAR06465;MAR06470;MAR06471;MAR06472;MAR06473;MAR06476;MAR06477;MAR06482;MAR06484;MAR06486;MAR06488;MAR06490;MAR06492;MAR06495;MAR06496;MAR03049;MAR03050;MAR04007;MAR06459;MAR06461	HMDB0006327;HMDB0000221;HMDB0001377;HMDB0000538;HMDB0001423;HMDB0000902;HMDB0002111;HMDB0001893;HMDB0000935;HMDB0000044;HMDB0000217;HMDB0000045;HMDB0001487;HMDB0000250;HMDB0001275;HMDB0001206;HMDB0003125;HMDB0002786;HMDB0002179;HMDB0001967;HMDB0000295;HMDB0000127	22	16	HMDB0001893;HMDB0001487;HMDB0001275;HMDB0000295;HMDB0000044;HMDB0000902;HMDB0000250;HMDB0006327;HMDB0003125;HMDB0000045;HMDB0000538;HMDB0001377;HMDB0001967;HMDB0000221;HMDB0000217;HMDB0002111	0.21536886378034342	0.9318600368324125	0.6323110675758549	0.937507826859763	0.937507826859763
Ascorbate and aldarate metabolism	MAR06394;MAR06396;MAR06405;MAR08345;MAR08346;MAR08348;MAR08349;MAR08619;MAR08620;MAR08621;MAR08622;MAR08623;MAR08624;MAR08625;MAR06393	HMDB0000044;HMDB0001451;HMDB0001264;HMDB0000221;HMDB0002111;HMDB0006355;HMDB0003466;HMDB0000902;HMDB0006511;HMDB0003125;HMDB0012210;HMDB0000217;HMDB0000182;HMDB0000127;HMDB0003290;HMDB0000663;HMDB0001487;HMDB0003337;HMDB0001967;HMDB0006293	20	11	HMDB0006355;HMDB0000902;HMDB0000044;HMDB0003125;HMDB0002111;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0000221;HMDB0001451;HMDB0001967	0.2449105658105522	0.8817204301075269	0.65781244205054	0.9419898272834103	0.9419898272834103
