"metID" "metID_v2" "HBM_ID" "HMDB_ID_unique"
"HUBMet001483" "HMDB0007479" "HUBMet001483" "HMDB0007479"
"HUBMet001486" "HMDB0007495" "HUBMet001486" "HMDB0007495"
"HUBMet001483" "HMDB0007506" "HUBMet001483" "HMDB0007506"
"HUBMet001483" "HMDB0007535" "HUBMet001483" "HMDB0007535"
"HMDB0007542" "HMDB0007542" NA "HMDB0007542"
"HUBMet001486" "HMDB0007581" "HUBMet001486" "HMDB0007581"
"HUBMet001478" "HMDB0007587" "HUBMet001478" "HMDB0007587"
"HUBMet001478" "HMDB0007614" "HUBMet001478" "HMDB0007614"
"HUBMet001478" "HMDB0007641" "HUBMet001478" "HMDB0007641"
"HUBMet001478" "HMDB0007642" "HUBMet001478" "HMDB0007642"
"HUBMet001486" "HMDB0007665" "HUBMet001486" "HMDB0007665"
"HUBMet001478" "HMDB0007669" "HUBMet001478" "HMDB0007669"
"HUBMet001483" "HMDB0007678" "HUBMet001483" "HMDB0007678"
"HUBMet001486" "HMDB0007690" "HUBMet001486" "HMDB0007690"
"HUBMet001486" "HMDB0007691" "HUBMet001486" "HMDB0007691"
"HUBMet001478" "HMDB0007697" "HUBMet001478" "HMDB0007697"
"HUBMet001486" "HMDB0007718" "HUBMet001486" "HMDB0007718"
"HUBMet001478" "HMDB0007725" "HUBMet001478" "HMDB0007725"
"HUBMet001486" "HMDB0007747" "HUBMet001486" "HMDB0007747"
"HMDB0007748" "HMDB0007748" NA "HMDB0007748"
"HUBMet001478" "HMDB0007754" "HUBMet001478" "HMDB0007754"
"HUBMet001486" "HMDB0007775" "HUBMet001486" "HMDB0007775"
"HUBMet001478" "HMDB0007782" "HUBMet001478" "HMDB0007782"
"HMDB0007827" "HMDB0007827" NA "HMDB0007827"
"HUBMet001478" "HMDB0007839" "HUBMet001478" "HMDB0007839"
"HMDB0007841" "HMDB0007841" NA "HMDB0007841"
"HUBMet002055" "HMDB0007888" "HUBMet002055" "HMDB0007888"
"HUBMet001908" "HMDB0007889" "HUBMet001908" "HMDB0007889"
"HUBMet002048" "HMDB0007915" "HUBMet002048" "HMDB0007915"
"HUBMet002055" "HMDB0007920" "HUBMet002055" "HMDB0007920"
"HUBMet003125" "HMDB0007962" "HUBMet003125" "HMDB0007962"
"HUBMet002045" "HMDB0007971" "HUBMet002045" "HMDB0007971"
"HUBMet002048" "HMDB0007976" "HUBMet002048" "HMDB0007976"
"HUBMet002055" "HMDB0007979" "HUBMet002055" "HMDB0007979"
"HUBMet002048" "HMDB0008007" "HUBMet002048" "HMDB0008007"
"HUBMet002055" "HMDB0008011" "HUBMet002055" "HMDB0008011"
"HUBMet001908" "HMDB0008013" "HUBMet001908" "HMDB0008013"
"HUBMet001908" "HMDB0008014" "HUBMet001908" "HMDB0008014"
"HUBMet002045" "HMDB0008035" "HUBMet002045" "HMDB0008035"
"HUBMet001908" "HMDB0008042" "HUBMet001908" "HMDB0008042"
"HUBMet000655" "HMDB0008055" "HUBMet000655" "HMDB0008055"
"HMDB0008069" "HMDB0008069" NA "HMDB0008069"
"HUBMet001908" "HMDB0008073" "HUBMet001908" "HMDB0008073"
"HUBMet001908" "HMDB0008074" "HUBMet001908" "HMDB0008074"
"HUBMet002045" "HMDB0008100" "HUBMet002045" "HMDB0008100"
"HUBMet002055" "HMDB0008103" "HUBMet002055" "HMDB0008103"
"HUBMet001908" "HMDB0008106" "HUBMet001908" "HMDB0008106"
"HUBMet001908" "HMDB0008107" "HUBMet001908" "HMDB0008107"
"HUBMet002055" "HMDB0008135" "HUBMet002055" "HMDB0008135"
"HUBMet000197" "HMDB0008138" "HUBMet000197" "HMDB0008138"
"HUBMet000412" "HMDB0008141" "HUBMet000412" "HMDB0008141"
"HUBMet002048" "HMDB0008167" "HUBMet002048" "HMDB0008167"
"HUBMet001908" "HMDB0008169" "HUBMet001908" "HMDB0008169"
"HUBMet001908" "HMDB0008170" "HUBMet001908" "HMDB0008170"
"HUBMet002048" "HMDB0008200" "HUBMet002048" "HMDB0008200"
"HUBMet001908" "HMDB0008202" "HUBMet001908" "HMDB0008202"
"HUBMet001908" "HMDB0008203" "HUBMet001908" "HMDB0008203"
"HMDB0008233" "HMDB0008233" NA "HMDB0008233"
"HUBMet001908" "HMDB0008234" "HUBMet001908" "HMDB0008234"
"HUBMet002045" "HMDB0008263" "HUBMet002045" "HMDB0008263"
"HUBMet002045" "HMDB0008295" "HUBMet002045" "HMDB0008295"
"HUBMet002055" "HMDB0008299" "HUBMet002055" "HMDB0008299"
"HUBMet002055" "HMDB0008331" "HUBMet002055" "HMDB0008331"
"HUBMet002048" "HMDB0008362" "HUBMet002048" "HMDB0008362"
"HUBMet001908" "HMDB0008365" "HUBMet001908" "HMDB0008365"
"HUBMet002048" "HMDB0008395" "HUBMet002048" "HMDB0008395"
"HUBMet001908" "HMDB0008398" "HUBMet001908" "HMDB0008398"
"HUBMet002048" "HMDB0008459" "HUBMet002048" "HMDB0008459"
"HUBMet001908" "HMDB0008462" "HUBMet001908" "HMDB0008462"
"HUBMet002055" "HMDB0008559" "HUBMet002055" "HMDB0008559"
"HUBMet002055" "HMDB0008590" "HUBMet002055" "HMDB0008590"
"HUBMet001908" "HMDB0008623" "HUBMet001908" "HMDB0008623"
"HMDB0008711" "HMDB0008711" NA "HMDB0008711"
"HMDB0008717" "HMDB0008717" NA "HMDB0008717"
"HMDB0008823" "HMDB0008823" NA "HMDB0008823"
"HUBMet002134" "HMDB0008882" "HUBMet002134" "HMDB0008882"
