"KEGG_pathway_name"	"KEGG_pathway_ID"	"Pathway_Class"	"HMDB.ID"	"N_met"
"Pantothenate and CoA biosynthesis"	"map00770"	"Cofactors and vitamins metabolism"	"HMDB0000045;HMDB0000082;HMDB0000095;HMDB0000210;HMDB0000250;HMDB0000464;HMDB0000538;HMDB0000574;HMDB0001016;HMDB0001117;HMDB0001341;HMDB0001373;HMDB0001416;HMDB0001423;HMDB0001520;HMDB0001967;HMDB0002111;HMDB0002991;HMDB0003426;HMDB0004231;HMDB0006834"	21
"Riboflavin metabolism"	"map00740"	"Cofactors and vitamins metabolism"	"HMDB0000045;HMDB0000244;HMDB0000250;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000657;HMDB0001248;HMDB0001341;HMDB0001377;HMDB0001429;HMDB0001520;HMDB0002111;HMDB0002434;HMDB0003125;HMDB0003364;HMDB0003701;HMDB0003826;HMDB0004256;HMDB0015532"	20
"Thiamine metabolism"	"map00730"	"Cofactors and vitamins metabolism"	"HMDB0000045;HMDB0000235;HMDB0000538;HMDB0001341;HMDB0001372;HMDB0001429;HMDB0001512;HMDB0002111;HMDB0002666"	9
"Galactose metabolism"	"map00052"	"Carbohydrate metabolism"	"HMDB0000048;HMDB0000107;HMDB0000122;HMDB0000131;HMDB0000143;HMDB0000169;HMDB0000186;HMDB0000211;HMDB0000247;HMDB0000250;HMDB0000258;HMDB0000285;HMDB0000286;HMDB0000295;HMDB0000302;HMDB0000538;HMDB0000547;HMDB0000645;HMDB0000660;HMDB0000902;HMDB0001262;HMDB0001341;HMDB0001401;HMDB0001429;HMDB0001487;HMDB0001586;HMDB0002111;HMDB0003213;HMDB0003345;HMDB0003553;HMDB0004162;HMDB0005826;HMDB0006790;HMDB0006791;HMDB0006792;HMDB0015531;HMDB0015532;HMDB0032197"	38
"D-Arginine and D-Ornithine Metabolism"	"map00472"	"Amino acid metabolism"	"HMDB0000051;HMDB0000294;HMDB0001248;HMDB0001377;HMDB0002111;HMDB0003125;HMDB0003374;HMDB0003416;HMDB0004225;HMDB0006272;HMDB0006875"	11
"One carbon pool by folate"	"map00670"	"Cofactors and vitamins metabolism"	"HMDB0000051;HMDB0000121;HMDB0000142;HMDB0000148;HMDB0000217;HMDB0000221;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000902;HMDB0000972;HMDB0001056;HMDB0001248;HMDB0001341;HMDB0001354;HMDB0001396;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001534;HMDB0001562;HMDB0001846;HMDB0001967;HMDB0002111;HMDB0003470;HMDB0006825;HMDB0006826;HMDB0059597"	29
"Porphyrin metabolism"	"map00860"	"Cofactors and vitamins metabolism"	"HMDB0000051;HMDB0000054;HMDB0000123;HMDB0000241;HMDB0000245;HMDB0000295;HMDB0000570;HMDB0000643;HMDB0000692;HMDB0000902;HMDB0000916;HMDB0000935;HMDB0000936;HMDB0000961;HMDB0001008;HMDB0001022;HMDB0001086;HMDB0001097;HMDB0001137;HMDB0001149;HMDB0001162;HMDB0001248;HMDB0001261;HMDB0001361;HMDB0001362;HMDB0001377;HMDB0001487;HMDB0001491;HMDB0001967;HMDB0002111;HMDB0002158;HMDB0002211;HMDB0003125;HMDB0003178;HMDB0003325;HMDB0004158;HMDB0006901;HMDB0015531;HMDB0015532"	39
"Androgen and Estrogen Metabolism"	"map00150"	"Lipid metabolism"	"HMDB0000053;HMDB0000061;HMDB0000077;HMDB0000142;HMDB0000145;HMDB0000151;HMDB0000217;HMDB0000221;HMDB0000234;HMDB0000295;HMDB0000363;HMDB0000374;HMDB0000464;HMDB0000902;HMDB0000935;HMDB0001032;HMDB0001134;HMDB0001377;HMDB0001425;HMDB0001448;HMDB0001487;HMDB0002111;HMDB0002759;HMDB0002961;HMDB0003178;HMDB0003193;HMDB0003955;HMDB0003959;HMDB0006224;HMDB0006768;HMDB0006769;HMDB0006770;HMDB0059597"	33
"Sulfur metabolism"	"map00920"	"Energy metabolism"	"HMDB0000061;HMDB0000145;HMDB0000228;HMDB0000240;HMDB0000250;HMDB0000538;HMDB0000547;HMDB0000629;HMDB0000652;HMDB0000820;HMDB0001003;HMDB0001134;HMDB0001302;HMDB0001341;HMDB0001377;HMDB0001425;HMDB0001429;HMDB0001448;HMDB0002111;HMDB0003125;HMDB0003178;HMDB0060015"	22
"Biosynthesis of unsaturated fatty acids"	"map01040"	"Lipid metabolism"	"HMDB0000062;HMDB0000201;HMDB0000482;HMDB0000511;HMDB0000535;HMDB0000538;HMDB0000547;HMDB0000638;HMDB0001206;HMDB0001341;HMDB0001423;HMDB0001521;HMDB0002003;HMDB0002356;HMDB0003571;HMDB0006459;HMDB0006526"	17
"Glutathione metabolism"	"map00480"	"Metabolism of other amino acids"	"HMDB0000078;HMDB0000123;HMDB0000125;HMDB0000148;HMDB0000161;HMDB0000217;HMDB0000221;HMDB0000267;HMDB0000538;HMDB0000574;HMDB0001049;HMDB0001248;HMDB0001341;HMDB0001429;HMDB0002111;HMDB0003125;HMDB0003337;HMDB0006248;HMDB0015532;HMDB0031524"	20
"Retinol metabolism"	"map00830"	"Cofactors and vitamins metabolism"	"HMDB0000086;HMDB0000217;HMDB0000221;HMDB0000305;HMDB0000561;HMDB0000692;HMDB0000902;HMDB0001206;HMDB0001358;HMDB0001377;HMDB0001423;HMDB0001487;HMDB0001852;HMDB0001862;HMDB0002111;HMDB0002152;HMDB0002369;HMDB0003141;HMDB0003178;HMDB0003345;HMDB0003598;HMDB0003648;HMDB0006216;HMDB0006217;HMDB0006218;HMDB0006254;HMDB0006285;HMDB0007144;HMDB0008790;HMDB0011618;HMDB0012329;HMDB0012451;HMDB0012452;HMDB0015532;HMDB0048523"	35
"Inositol phosphate metabolism"	"map00562"	"Carbohydrate metabolism"	"HMDB0000095;HMDB0000127;HMDB0000211;HMDB0000213;HMDB0000250;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000692;HMDB0000902;HMDB0000968;HMDB0001059;HMDB0001143;HMDB0001187;HMDB0001313;HMDB0001333;HMDB0001341;HMDB0001377;HMDB0001401;HMDB0001429;HMDB0001498;HMDB0002111;HMDB0003502;HMDB0003529;HMDB0003848;HMDB0004249;HMDB0004527;HMDB0006229;HMDB0006230;HMDB0006234;HMDB0006235;HMDB0006814;HMDB0006971;HMDB0007102;HMDB0009783;HMDB0009925;HMDB0009970;HMDB0010037;HMDB0010150;HMDB0031712"	40
"Glycerophospholipid metabolism"	"map00564"	"Lipid metabolism"	"HMDB0000097;HMDB0000114;HMDB0000126;HMDB0000149;HMDB0000464;HMDB0000547;HMDB0000564;HMDB0000614;HMDB0000674;HMDB0000895;HMDB0000902;HMDB0001197;HMDB0001248;HMDB0001333;HMDB0001338;HMDB0001413;HMDB0001473;HMDB0001487;HMDB0001565;HMDB0006968;HMDB0007098;HMDB0007853;HMDB0008923;HMDB0009778;HMDB0010382;HMDB0010570;HMDB0011503;HMDB0013472;HMDB0056387"	29
"Fructose and mannose metabolism"	"map00051"	"Carbohydrate metabolism"	"HMDB0000124;HMDB0000169;HMDB0000174;HMDB0000217;HMDB0000221;HMDB0000247;HMDB0000250;HMDB0000538;HMDB0000547;HMDB0000660;HMDB0000902;HMDB0001047;HMDB0001051;HMDB0001058;HMDB0001076;HMDB0001078;HMDB0001095;HMDB0001112;HMDB0001163;HMDB0001265;HMDB0001273;HMDB0001341;HMDB0001346;HMDB0001429;HMDB0001473;HMDB0001487;HMDB0002111;HMDB0003345;HMDB0006330;HMDB0006800;HMDB0015532"	31
"Arachidonic acid metabolism"	"map00590"	"Lipid metabolism"	"HMDB0000125;HMDB0000148;HMDB0000217;HMDB0000221;HMDB0000464;HMDB0000547;HMDB0001043;HMDB0001085;HMDB0001139;HMDB0001198;HMDB0001220;HMDB0001335;HMDB0001337;HMDB0001377;HMDB0001381;HMDB0001403;HMDB0001452;HMDB0001509;HMDB0002111;HMDB0002190;HMDB0002232;HMDB0002265;HMDB0002311;HMDB0002314;HMDB0002343;HMDB0002710;HMDB0002752;HMDB0002886;HMDB0003080;HMDB0003125;HMDB0003178;HMDB0003235;HMDB0003252;HMDB0003337;HMDB0003876;HMDB0004234;HMDB0004236;HMDB0004238;HMDB0004241;HMDB0004242;HMDB0004243;HMDB0004244;HMDB0004264;HMDB0004659;HMDB0004673;HMDB0004679;HMDB0004680;HMDB0004684;HMDB0004692;HMDB0004693;HMDB0004694;HMDB0004699;HMDB0005050;HMDB0005079;HMDB0005998;HMDB0006059;HMDB0007883;HMDB0010217;HMDB0010379;HMDB0011134;HMDB0011135;HMDB0011136;HMDB0011137;HMDB0013633;HMDB0015531;HMDB0015532;HMDB0060095"	67
"Glycerolipid metabolism"	"map00561"	"Lipid metabolism"	"HMDB0000126;HMDB0000131;HMDB0000139;HMDB0000217;HMDB0000220;HMDB0000221;HMDB0000538;HMDB0000674;HMDB0000807;HMDB0000902;HMDB0001051;HMDB0001248;HMDB0001338;HMDB0001341;HMDB0001423;HMDB0001429;HMDB0001473;HMDB0001487;HMDB0002111;HMDB0002434;HMDB0003364;HMDB0005356;HMDB0007098;HMDB0007853;HMDB0011533"	25
"Oxidative phosphorylation"	"map00190"	"Energy metabolism"	"HMDB0000126;HMDB0000134;HMDB0000254;HMDB0000538;HMDB0000902;HMDB0001060;HMDB0001072;HMDB0001112;HMDB0001248;HMDB0001270;HMDB0001341;HMDB0001362;HMDB0001377;HMDB0001429;HMDB0001473;HMDB0001487;HMDB0002111;HMDB0003178;HMDB0059597"	19
"Lysine degradation"	"map00310"	"Amino acid metabolism"	"HMDB0000148;HMDB0000182;HMDB0000208;HMDB0000217;HMDB0000221;HMDB0000225;HMDB0000279;HMDB0000510;HMDB0000716;HMDB0000902;HMDB0000962;HMDB0001084;HMDB0001166;HMDB0001206;HMDB0001248;HMDB0001263;HMDB0001339;HMDB0001372;HMDB0001377;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0001491;HMDB0001967;HMDB0002009;HMDB0002111;HMDB0003125;HMDB0003405;HMDB0006832;HMDB0012130"	30
"Fatty acid elongation"	"map00062"	"Lipid metabolism"	"HMDB0000217;HMDB0000220;HMDB0000221;HMDB0000902;HMDB0001070;HMDB0001088;HMDB0001206;HMDB0001338;HMDB0001423;HMDB0001487;HMDB0001521;HMDB0002111;HMDB0002845;HMDB0003571;HMDB0003712;HMDB0003932;HMDB0003934;HMDB0003935;HMDB0003936;HMDB0003937;HMDB0003938;HMDB0003939;HMDB0003940;HMDB0003941;HMDB0003942;HMDB0003943;HMDB0003944;HMDB0003945;HMDB0003946;HMDB0003948;HMDB0003949;HMDB0006272;HMDB0006402;HMDB0006404;HMDB0059597"	35
"Ubiquinone and other terpenoid-quinone biosynthesis"	"map00130"	"Cofactors and vitamins metabolism"	"HMDB0000217;HMDB0000221;HMDB0000250;HMDB0000500;HMDB0000939;HMDB0000977;HMDB0001063;HMDB0001185;HMDB0001377;HMDB0002012;HMDB0002111;HMDB0006816;HMDB0006817;HMDB0006818;HMDB0006819;HMDB0006820;HMDB0012188;HMDB0015531;HMDB0036062;HMDB0059597"	20
"Taurine and hypotaurine metabolism"	"map00430"	"Metabolism of other amino acids"	"HMDB0000251;HMDB0000574;HMDB0000692;HMDB0000965;HMDB0000996;HMDB0001377;HMDB0001491;HMDB0001967;HMDB0002757;HMDB0002991;HMDB0004195;HMDB0015531"	12
"alpha-Linolenic acid metabolism"	"map00592"	"Lipid metabolism"	"HMDB0000464;HMDB0000673;HMDB0001043;HMDB0001388;HMDB0001976;HMDB0001999;HMDB0002007;HMDB0002177;HMDB0002183;HMDB0002226;HMDB0002925;HMDB0003073;HMDB0006246;HMDB0006322;HMDB0006323;HMDB0006528;HMDB0006547;HMDB0008204"	18
"Caffeine metabolism"	"map00232"	"Biosynthesis of other secondary metabolites"	"HMDB0000902;HMDB0001206;HMDB0001248;HMDB0001377;HMDB0001423;HMDB0001426;HMDB0001487;HMDB0001847;HMDB0001860;HMDB0001889;HMDB0001982;HMDB0001991;HMDB0002111;HMDB0002123;HMDB0002825;HMDB0003099;HMDB0003125;HMDB0003178;HMDB0004400;HMDB0010738;HMDB0011103;HMDB0011105;HMDB0011107"	23
