"KEGG_pathway_name"	"KEGG_pathway_ID"	"Pathway_Class"	"HMDB.ID"	"N_met"
"Valine, leucine and isoleucine degradation"	"map00280"	"Amino acid metabolism"	"HMDB0000019;HMDB0000023;HMDB0000030;HMDB0000060;HMDB0000148;HMDB0000172;HMDB0000202;HMDB0000208;HMDB0000254;HMDB0000491;HMDB0000538;HMDB0000595;HMDB0000687;HMDB0000695;HMDB0000883;HMDB0000902;HMDB0000962;HMDB0000985;HMDB0001011;HMDB0001022;HMDB0001041;HMDB0001052;HMDB0001057;HMDB0001113;HMDB0001157;HMDB0001206;HMDB0001243;HMDB0001248;HMDB0001269;HMDB0001275;HMDB0001341;HMDB0001356;HMDB0001372;HMDB0001375;HMDB0001377;HMDB0001423;HMDB0001429;HMDB0001484;HMDB0001487;HMDB0001491;HMDB0001493;HMDB0001545;HMDB0001967;HMDB0002054;HMDB0002086;HMDB0002111;HMDB0002166;HMDB0002217;HMDB0002255;HMDB0002310;HMDB0003125;HMDB0006865;HMDB0006866;HMDB0006867;HMDB0006868;HMDB0006869;HMDB0006870;HMDB0013617;HMDB0059597"	59
"Tyrosine metabolism"	"map00350"	"Amino acid metabolism"	"HMDB0000020;HMDB0000021;HMDB0000022;HMDB0000027;HMDB0000038;HMDB0000044;HMDB0000051;HMDB0000060;HMDB0000068;HMDB0000073;HMDB0000118;HMDB0000130;HMDB0000134;HMDB0000148;HMDB0000158;HMDB0000164;HMDB0000181;HMDB0000191;HMDB0000208;HMDB0000216;HMDB0000217;HMDB0000221;HMDB0000223;HMDB0000248;HMDB0000265;HMDB0000291;HMDB0000306;HMDB0000318;HMDB0000464;HMDB0000547;HMDB0000657;HMDB0000692;HMDB0000707;HMDB0000742;HMDB0000819;HMDB0000902;HMDB0000939;HMDB0000957;HMDB0001185;HMDB0001229;HMDB0001248;HMDB0001253;HMDB0001264;HMDB0001268;HMDB0001336;HMDB0001362;HMDB0001377;HMDB0001398;HMDB0001430;HMDB0001487;HMDB0001490;HMDB0001491;HMDB0001866;HMDB0001967;HMDB0002052;HMDB0002111;HMDB0002281;HMDB0003125;HMDB0003474;HMDB0003791;HMDB0004058;HMDB0004061;HMDB0004063;HMDB0004067;HMDB0004068;HMDB0005175;HMDB0006242;HMDB0006779;HMDB0006915;HMDB0011639;HMDB0013636;HMDB0015531;HMDB0015532;HMDB0059597"	74
"Starch and sucrose metabolism"	"map00500"	"Carbohydrate metabolism"	"HMDB0000024;HMDB0000061;HMDB0000122;HMDB0000127;HMDB0000143;HMDB0000163;HMDB0000187;HMDB0000217;HMDB0000221;HMDB0000224;HMDB0000250;HMDB0000252;HMDB0000258;HMDB0000269;HMDB0000277;HMDB0000285;HMDB0000286;HMDB0000295;HMDB0000464;HMDB0000492;HMDB0000538;HMDB0000547;HMDB0000660;HMDB0000757;HMDB0000807;HMDB0000902;HMDB0000935;HMDB0001134;HMDB0001270;HMDB0001338;HMDB0001341;HMDB0001348;HMDB0001383;HMDB0001401;HMDB0001429;HMDB0001448;HMDB0001480;HMDB0001487;HMDB0001491;HMDB0001551;HMDB0001565;HMDB0001586;HMDB0001967;HMDB0002091;HMDB0002111;HMDB0003345;HMDB0003403;HMDB0003514;HMDB0003971;HMDB0004836;HMDB0004866;HMDB0004950;HMDB0006752;HMDB0006790;HMDB0006857;HMDB0007940;HMDB0010699;HMDB0010708;HMDB0013960;HMDB0015532;HMDB0032197"	61
"Arginine and proline metabolism"	"map00330"	"Amino acid metabolism"	"HMDB0000027;HMDB0000045;HMDB0000051;HMDB0000052;HMDB0000064;HMDB0000123;HMDB0000128;HMDB0000134;HMDB0000148;HMDB0000161;HMDB0000162;HMDB0000191;HMDB0000208;HMDB0000214;HMDB0000217;HMDB0000221;HMDB0000223;HMDB0000243;HMDB0000250;HMDB0000254;HMDB0000294;HMDB0000464;HMDB0000517;HMDB0000538;HMDB0000595;HMDB0000641;HMDB0000902;HMDB0000904;HMDB0000939;HMDB0001096;HMDB0001185;HMDB0001248;HMDB0001301;HMDB0001333;HMDB0001341;HMDB0001369;HMDB0001377;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001511;HMDB0001520;HMDB0001967;HMDB0002070;HMDB0002104;HMDB0002111;HMDB0002234;HMDB0002272;HMDB0002273;HMDB0003125;HMDB0003178;HMDB0003378;HMDB0003411;HMDB0004224;HMDB0006556;HMDB0006875;HMDB0059597"	57
"Phenylalanine metabolism"	"map00360"	"Amino acid metabolism"	"HMDB0000027;HMDB0000045;HMDB0000051;HMDB0000060;HMDB0000130;HMDB0000134;HMDB0000148;HMDB0000158;HMDB0000159;HMDB0000205;HMDB0000208;HMDB0000209;HMDB0000250;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000692;HMDB0000707;HMDB0001248;HMDB0001268;HMDB0001377;HMDB0001423;HMDB0001491;HMDB0001967;HMDB0002052;HMDB0002111;HMDB0002281;HMDB0003125;HMDB0006344;HMDB0006503;HMDB0015531"	32
"Folate biosynthesis"	"map00790"	"Cofactors and vitamins metabolism"	"HMDB0000027;HMDB0000038;HMDB0000121;HMDB0000142;HMDB0000217;HMDB0000221;HMDB0000238;HMDB0000845;HMDB0000902;HMDB0000980;HMDB0001056;HMDB0001195;HMDB0001273;HMDB0001412;HMDB0001487;HMDB0001846;HMDB0002065;HMDB0002111;HMDB0002275;HMDB0003379;HMDB0006821;HMDB0006822;HMDB0006823;HMDB0006824;HMDB0006825;HMDB0006826;HMDB0013642;HMDB0015532"	28
"Tryptophan metabolism"	"map00380"	"Amino acid metabolism"	"HMDB0000027;HMDB0000142;HMDB0000148;HMDB0000161;HMDB0000197;HMDB0000208;HMDB0000217;HMDB0000221;HMDB0000232;HMDB0000250;HMDB0000259;HMDB0000303;HMDB0000472;HMDB0000538;HMDB0000684;HMDB0000692;HMDB0000715;HMDB0000763;HMDB0000881;HMDB0000902;HMDB0000929;HMDB0000939;HMDB0000978;HMDB0001123;HMDB0001185;HMDB0001190;HMDB0001200;HMDB0001206;HMDB0001238;HMDB0001248;HMDB0001280;HMDB0001330;HMDB0001377;HMDB0001389;HMDB0001423;HMDB0001476;HMDB0001487;HMDB0001491;HMDB0001967;HMDB0002111;HMDB0002281;HMDB0003125;HMDB0003178;HMDB0003540;HMDB0004073;HMDB0004076;HMDB0004077;HMDB0004078;HMDB0004081;HMDB0004083;HMDB0004086;HMDB0004089;HMDB0004096;HMDB0004259;HMDB0004369;HMDB0004370;HMDB0011631;HMDB0012819;HMDB0012948"	59
"Alanine, aspartate and glutamate metabolism"	"map00250"	"Amino acid metabolism"	"HMDB0000030;HMDB0000042;HMDB0000045;HMDB0000051;HMDB0000052;HMDB0000056;HMDB0000112;HMDB0000119;HMDB0000123;HMDB0000124;HMDB0000125;HMDB0000134;HMDB0000148;HMDB0000161;HMDB0000168;HMDB0000175;HMDB0000191;HMDB0000208;HMDB0000217;HMDB0000221;HMDB0000223;HMDB0000243;HMDB0000250;HMDB0000254;HMDB0000280;HMDB0000517;HMDB0000536;HMDB0000538;HMDB0000547;HMDB0000574;HMDB0000595;HMDB0000641;HMDB0000691;HMDB0000812;HMDB0000828;HMDB0000902;HMDB0000904;HMDB0001049;HMDB0001062;HMDB0001096;HMDB0001128;HMDB0001178;HMDB0001179;HMDB0001201;HMDB0001206;HMDB0001248;HMDB0001254;HMDB0001259;HMDB0001273;HMDB0001301;HMDB0001333;HMDB0001341;HMDB0001377;HMDB0001397;HMDB0001423;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001554;HMDB0001967;HMDB0002111;HMDB0003125;HMDB0003337;HMDB0003362;HMDB0006483;HMDB0011111;HMDB0015532;HMDB0059597"	68
"Biotin metabolism"	"map00780"	"Cofactors and vitamins metabolism"	"HMDB0000030;HMDB0000182;HMDB0000250;HMDB0000538;HMDB0002111;HMDB0003134;HMDB0003405;HMDB0004220"	8
"Citrate cycle (TCA cycle)"	"map00020"	"Carbohydrate metabolism"	"HMDB0000030;HMDB0000072;HMDB0000094;HMDB0000134;HMDB0000156;HMDB0000193;HMDB0000208;HMDB0000223;HMDB0000243;HMDB0000254;HMDB0000538;HMDB0000547;HMDB0000595;HMDB0000902;HMDB0000962;HMDB0001022;HMDB0001072;HMDB0001197;HMDB0001201;HMDB0001206;HMDB0001248;HMDB0001273;HMDB0001333;HMDB0001341;HMDB0001372;HMDB0001423;HMDB0001429;HMDB0001487;HMDB0001967;HMDB0002111;HMDB0059597;HMDB0059661"	32
